118909680,912004,6872,153,97,378922
536933457,911414,9397,82,57,235489
989327275,911424,2781,153,97,153344
801273095,911434,3370,668,503,558510
890349042,911444,2922,82,57,73225
599133241,911454,5695,47,32,89184
395203816,911464,8446,668,503,1399756
971138894,911474,434,109,36,31873
544516599,911484,3417,82,57,85630
257915055,911494,1651,82,57,41374
578912389,911504,1895,82,57,47489
400086724,911514,3407,82,57,85379
639016187,911524,7945,206,117,703848
638278901,911534,9766,9,7,23536
865452992,911544,5628,154,91,355296
213116586,911554,4788,47,32,74980
498847806,911564,9006,668,503,1492564
165224778,911574,2538,153,97,139945
579825627,911584,2143,422,365,122580
635228478,911594,7078,651,525,893598
349011456,911604,9101,437,263,1582391
863752686,911614,2469,255,159,236678
847030293,911624,3942,255,159,377880
991422402,911634,2775,47,32,43457
414507138,911644,728,154,91,45959
258862626,911654,2058,422,365,117718
992066991,911664,3523,422,365,201516
606698358,911674,4381,437,263,761724
920334851,911684,6389,47,32,100052
375554597,911694,3806,206,117,337174
339935719,911704,3388,153,97,186814
606056344,911714,4395,153,97,242340
291494596,911724,8583,82,57,215090
538828599,911734,211,422,365,12069
915636479,911744,6037,668,503,1000512
314496362,911754,5317,668,503,881186
552986371,911764,9811,9,7,23645
973684632,911774,3775,82,57,94602
244169270,911784,3968,109,36,291410
857018411,911794,9647,422,365,551808
129810178,911804,2571,422,365,147061
105122697,911814,6997,47,32,109573
350534093,911824,9683,153,97,533921
658622491,911834,9886,206,117,875801
146966016,911844,9365,437,263,1628293
858142793,911854,2377,154,91,150060
559730947,911864,5680,109,36,417139
844308602,911874,8533,206,117,755938
829453885,911884,2692,255,159,258055
757744920,911894,2415,668,503,400238
196759831,911904,4461,437,263,775634
739076745,911914,8088,154,91,510595
602273786,911924,5052,668,503,837268
928929078,911934,9612,422,365,549806
386620748,911944,8526,153,97,470124
567926919,911954,1051,422,365,60117
590425717,911964,8945,206,117,792438
696695268,911974,6467,109,36,474936
454313695,911984,373,82,57,9347
555859124,911994,9922,651,525,1252653
667765605,912003,5537,651,525,699046
890534865,911413,7911,154,91,499421
887627780,911423,7640,255,159,732370
664389884,911433,6586,668,503,1091498
125899302,911443,5256,255,159,503840
302234160,911453,6659,154,91,420383
648472583,911463,6303,153,97,347547
844692695,911473,2194,422,365,125497
795972621,911483,4842,255,159,464154
632390487,911493,7253,668,503,1202040
709024417,911503,4936,109,36,362500
705952537,911513,5898,206,117,522504
528252971,911523,648,651,525,81810
306003844,911533,2192,437,263,381123
394283282,911543,6040,651,525,762550
473169410,911553,198,437,263,34426
447740352,911563,5175,206,117,458453
448074233,911573,3978,422,365,227542
829249179,911583,2115,668,503,350519
371343314,911593,7594,422,365,434377
779434764,911603,922,82,57,23105
383601653,911613,5108,422,365,292178
438922107,911623,5660,9,7,13641
625474250,911633,585,109,36,42962
848336207,911643,391,153,97,21560
337586104,911653,8085,153,97,445807
348302066,911663,9176,153,97,505965
560562217,911673,1672,153,97,92194
879444682,911683,6080,422,365,347776
535027587,911693,5407,9,7,13031
782389056,911703,5163,9,7,12443
401607215,911713,3354,651,525,423443
197760188,911723,489,154,91,30871
300926101,911733,9575,82,57,239950
166183078,911743,6121,9,7,14752
373609244,911753,8133,437,263,1414085
828282725,911763,6120,437,263,1064084
760281646,911773,3089,422,365,176691
524684131,911783,4549,422,365,260203
701568305,911793,8507,255,159,815481
296012294,911803,5471,82,57,137103
338094222,911813,8448,153,97,465823
282892215,911823,2948,153,97,162553
710484397,911833,6976,422,365,399027
625948894,911843,1042,422,365,59602
159363830,911853,8153,154,91,514699
565807330,911863,3817,255,159,365898
625357520,911873,6042,82,57,151413
243092525,911883,5335,82,57,133695
449090468,911893,4704,82,57,117882
698429477,911903,9658,668,503,1600620
671187674,911913,8203,153,97,452313
272443187,911923,848,668,503,140539
532274138,911933,601,422,365,34377
